Feature,Importance
Contract_Month-to-month,0.6095243799984021
tenure,0.11195145566198987
InternetService_Fiber optic,0.10150814623844898
MonthlyCharges,0.0463860630129853
TotalCharges,0.030876529944294163
OnlineSecurity_No,0.018578830687018256
InternetService_No,0.016507371480523433
AvgMonthlySpend,0.015189704233579
TechSupport_No,0.014785049040276093
PaymentMethod_Electronic check,0.014335942292611151
Contract_One year,0.005937608309945178
PaymentMethod_Mailed check,0.005105991867199749
Dependents_No,0.004152681944439917
OnlineBackup_No,0.002364946418047368
SeniorCitizen,0.001527864387366677
TechSupport_Yes,0.0007613735191520163
gender_Male,0.0005060609637207132
MultipleLines_No,0.0
PhoneService_No,0.0
Dependents_Yes,0.0
Partner_Yes,0.0
Partner_No,0.0
IsNewCustomer,0.0
gender_Female,0.0
TotalServices,0.0
PhoneService_Yes,0.0
OnlineBackup_Yes,0.0
OnlineSecurity_No internet service,0.0
OnlineSecurity_Yes,0.0
MultipleLines_Yes,0.0
InternetService_DSL,0.0
MultipleLines_No phone service,0.0
TechSupport_No internet service,0.0
DeviceProtection_Yes,0.0
DeviceProtection_No internet service,0.0
DeviceProtection_No,0.0
OnlineBackup_No internet service,0.0
StreamingTV_Yes,0.0
StreamingTV_No internet service,0.0
StreamingTV_No,0.0
StreamingMovies_Yes,0.0
StreamingMovies_No internet service,0.0
StreamingMovies_No,0.0
Contract_Two year,0.0
PaperlessBilling_Yes,0.0
PaperlessBilling_No,0.0
PaymentMethod_Credit card (automatic),0.0
PaymentMethod_Bank transfer (automatic),0.0
